Region,Kroger: (2020)
Kentucky,100
Ohio,73
Tennessee,70
West Virginia,64
Indiana,62
Georgia,61
Michigan,48
Mississippi,45
Arkansas,37
Texas,28
Virginia,27
South Carolina,12
Alabama,12
Louisiana,10
Illinois,9
Kansas,7
Colorado,6
Alaska,6
Arizona,5
Oregon,5
Wisconsin,4
Washington,4
Utah,4
Nevada,4
Wyoming,4
Missouri,3
Idaho,3
New Mexico,3
North Carolina,2
Pennsylvania,2
Nebraska,2
California,2
Maryland,2
Montana,1
Florida,1
District of Columbia,1
Iowa,1
Oklahoma,1
New York,1
Minnesota,1
South Dakota,1
New Jersey,1
Delaware,1
Connecticut,1
Massachusetts,1
Rhode Island,1
New Hampshire,1
North Dakota,1
Maine,<1
Vermont,<1
Hawaii,<1
