Region,Dominion Energy: (2020)
Virginia,100
Utah,52
South Carolina,34
Ohio,19
West Virginia,18
North Carolina,12
Wyoming,11
District of Columbia,9
Maryland,4
Pennsylvania,3
Vermont,2
Georgia,2
Michigan,2
Rhode Island,1
Connecticut,1
New Jersey,1
Florida,1
New York,1
Tennessee,1
Colorado,1
Massachusetts,1
Hawaii,1
Maine,1
Nevada,1
New Hampshire,1
Wisconsin,1
New Mexico,1
Iowa,1
Idaho,1
Louisiana,1
Kentucky,1
Texas,1
Indiana,1
Oregon,1
Alabama,1
Arkansas,1
Alaska,1
California,1
Montana,1
Minnesota,1
Arizona,1
Oklahoma,1
Mississippi,1
Missouri,1
Kansas,1
Illinois,1
Washington,1
Nebraska,1
Delaware,1
North Dakota,<1
South Dakota,<1
