Region,CenturyLink: (2020)
Idaho,100
New Mexico,80
Arizona,71
Colorado,66
Iowa,61
Minnesota,52
Wyoming,47
Utah,47
Washington,44
Montana,44
Nebraska,43
Oregon,42
Nevada,40
Missouri,28
Arkansas,25
North Carolina,25
South Dakota,24
Wisconsin,23
North Dakota,21
Alabama,18
Florida,15
Kansas,12
Virginia,12
Louisiana,10
Indiana,10
Ohio,8
Pennsylvania,7
South Carolina,6
Tennessee,6
Texas,6
Illinois,5
Mississippi,4
Michigan,4
New Jersey,4
Georgia,3
Alaska,3
Oklahoma,3
District of Columbia,2
California,2
Hawaii,2
Maryland,2
New York,2
New Hampshire,1
Connecticut,1
Kentucky,1
Massachusetts,1
Rhode Island,1
Maine,1
Delaware,1
West Virginia,1
Vermont,1
